Model,Period,Window,R2_H1,R2_H10,R2_Decay%
Bi-RNN,2008_Financial_Crisis,120,0.9783,0.8979,8.22
Bi-RNN,2008_Financial_Crisis,252,-0.6575,-0.6174,
Bi-RNN,2010_Euro_Debt_Crisis,30,0.9724,0.8263,15.03
Bi-RNN,2010_Euro_Debt_Crisis,60,0.9418,0.8295,11.93
Bi-RNN,2010_Euro_Debt_Crisis,90,0.9713,0.8285,14.71
Bi-RNN,2010_Euro_Debt_Crisis,120,0.9656,0.8337,13.66
Bi-RNN,2010_Euro_Debt_Crisis,252,0.9283,0.8326,10.31
Bi-RNN,2015_China_Crash,30,0.8367,0.4135,50.58
Bi-RNN,2015_China_Crash,60,0.8279,0.3993,51.77
Bi-RNN,2015_China_Crash,90,0.813,0.3917,51.81
Bi-RNN,2015_China_Crash,120,0.8474,0.4026,52.49
Bi-RNN,2015_China_Crash,252,0.8274,0.3625,56.18
Bi-RNN,2018_Trade_War,30,0.7725,0.2206,71.44
Bi-RNN,2018_Trade_War,60,0.7603,0.2111,72.24
Bi-RNN,2018_Trade_War,90,0.7417,0.2814,62.06
Bi-RNN,2018_Trade_War,120,0.7442,0.3244,56.41
Bi-RNN,2018_Trade_War,252,0.7768,0.2897,62.71
Bi-RNN,2020_COVID_Crash,30,0.6662,-0.1356,120.35
Bi-RNN,2020_COVID_Crash,60,0.8117,-0.1196,114.74
Bi-RNN,2020_COVID_Crash,90,0.8136,-0.2762,133.95
Bi-RNN,2020_COVID_Crash,120,0.7359,-0.0347,104.71
Bi-RNN,2020_COVID_Crash,252,0.792,-0.1766,122.29
Bi-RNN,2022_Rate_Hike,30,0.9077,0.5843,35.63
Bi-RNN,2022_Rate_Hike,60,0.8416,0.5321,36.77
Bi-RNN,2022_Rate_Hike,90,0.8846,0.3635,58.91
Bi-RNN,2022_Rate_Hike,120,0.8952,0.2455,72.57
Bi-RNN,2022_Rate_Hike,252,0.9098,0.6222,31.61
Bi-RNN,2023_AI_Wave,30,0.8793,0.5332,39.37
Bi-RNN,2023_AI_Wave,60,0.8777,0.6191,29.46
Bi-RNN,2023_AI_Wave,90,0.7342,0.693,5.61
Bi-RNN,2023_AI_Wave,120,0.9278,0.393,57.65
Bi-RNN,2023_AI_Wave,252,0.9303,0.5234,43.74
Ensemble,2008_Financial_Crisis,30,0.9004,0.7982,11.35
Ensemble,2008_Financial_Crisis,60,0.9347,0.8238,11.86
Ensemble,2008_Financial_Crisis,90,0.8089,0.8248,-1.98
Ensemble,2008_Financial_Crisis,120,0.9342,0.8507,8.94
Ensemble,2008_Financial_Crisis,252,0.8127,0.7259,10.68
Ensemble,2010_Euro_Debt_Crisis,30,0.9332,0.7944,14.88
Ensemble,2010_Euro_Debt_Crisis,60,0.8959,0.7795,13.0
Ensemble,2010_Euro_Debt_Crisis,90,0.9149,0.7942,13.2
Ensemble,2010_Euro_Debt_Crisis,120,0.8688,0.7189,17.26
Ensemble,2010_Euro_Debt_Crisis,252,0.6592,0.4639,29.62
Ensemble,2015_China_Crash,30,0.771,0.142,81.58
Ensemble,2015_China_Crash,60,0.7916,0.2184,72.4
Ensemble,2015_China_Crash,90,0.7868,0.3593,54.33
Ensemble,2015_China_Crash,120,0.6329,0.2394,62.17
Ensemble,2015_China_Crash,252,0.7841,0.3653,53.42
Ensemble,2018_Trade_War,30,0.7634,0.0979,87.18
Ensemble,2018_Trade_War,60,0.7491,0.1131,84.9
Ensemble,2018_Trade_War,90,0.7268,-0.0375,105.15
Ensemble,2018_Trade_War,120,0.7834,0.1555,80.15
Ensemble,2018_Trade_War,252,0.7961,0.1205,84.86
Ensemble,2020_COVID_Crash,30,0.7228,-0.3178,143.97
Ensemble,2020_COVID_Crash,60,0.689,-0.2314,133.59
Ensemble,2020_COVID_Crash,90,0.7061,-0.2334,133.06
Ensemble,2020_COVID_Crash,120,0.6969,-0.1913,127.45
Ensemble,2020_COVID_Crash,252,0.6655,-0.2499,137.55
Ensemble,2022_Rate_Hike,30,0.879,0.3037,65.45
Ensemble,2022_Rate_Hike,60,0.8607,0.4344,49.52
Ensemble,2022_Rate_Hike,90,0.8055,0.462,42.64
Ensemble,2022_Rate_Hike,120,0.8427,0.0823,90.24
Ensemble,2022_Rate_Hike,252,0.8158,0.3255,60.1
Ensemble,2023_AI_Wave,30,0.8504,0.2192,74.23
Ensemble,2023_AI_Wave,60,0.4776,0.318,33.41
Ensemble,2023_AI_Wave,90,0.5597,0.3715,33.62
Ensemble,2023_AI_Wave,120,0.884,0.5384,39.09
Ensemble,2023_AI_Wave,252,0.8711,0.1451,83.35
Mamba,2008_Financial_Crisis,30,0.9784,0.8859,9.46
Mamba,2008_Financial_Crisis,60,0.9865,0.8785,10.95
Mamba,2008_Financial_Crisis,90,0.9826,0.9196,6.41
Mamba,2008_Financial_Crisis,120,0.9763,0.904,7.41
Mamba,2008_Financial_Crisis,252,0.9644,0.9213,4.47
