Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples,Seed
SP500,90,5,Bi-LSTM,2010_Euro_Debt_Crisis,0.0045565846376121,0.8896411061286926,0.0059164958480625,564,2620
SP500,90,5,PatchTST,2010_Euro_Debt_Crisis,0.0346109680831432,-3.793333053588867,0.0389923732829,564,2620
SP500,90,5,Mamba,2010_Euro_Debt_Crisis,0.0054268073290586,0.8427817821502686,0.0070617490939637,564,2620
SP500,90,5,SNN,2010_Euro_Debt_Crisis,0.0076971943490207,0.7059551477432251,0.0096575648056606,564,2620
SP500,90,5,Ensemble,2010_Euro_Debt_Crisis,0.008001310750842,0.7209042310714722,0.009408870575271,564,2620
SP500,90,10,ARIMA,2010_Euro_Debt_Crisis,0.0060412383769409,0.8096097347903097,0.0077544840795445,568,2620
SP500,90,10,Bi-RNN,2010_Euro_Debt_Crisis,0.0056808306835591,0.8284832835197449,0.0074004340413426,559,2620
SP500,90,10,Bi-GRU,2010_Euro_Debt_Crisis,0.0056734178215265,0.832798421382904,0.0073067481570742,559,2620
SP500,90,10,Bi-LSTM,2010_Euro_Debt_Crisis,0.0060407198034226,0.7918503284454346,0.008152519463513,559,2620
SP500,90,10,PatchTST,2010_Euro_Debt_Crisis,0.0114729693159461,0.3806945085525512,0.0140623023719609,559,2620
SP500,90,10,Mamba,2010_Euro_Debt_Crisis,0.0058460109867155,0.8014928698539734,0.0079614477499454,559,2620
SP500,90,10,SNN,2010_Euro_Debt_Crisis,0.0101788183674216,0.5205119848251343,0.0123735079024577,559,2620
SP500,90,10,Ensemble,2010_Euro_Debt_Crisis,0.0064126718789339,0.7942158579826355,0.0081060615970493,559,2620
SP500,120,1,ARIMA,2010_Euro_Debt_Crisis,0.0020175325031582,0.9746606520641712,0.0028289694445319,568,2620
SP500,120,1,Bi-RNN,2010_Euro_Debt_Crisis,0.0025067937094718,0.9655942320823668,0.0032964489066531,568,2620
SP500,120,1,Bi-GRU,2010_Euro_Debt_Crisis,0.0032108216546475,0.9448427557945251,0.0041738009431294,568,2620
SP500,120,1,Bi-LSTM,2010_Euro_Debt_Crisis,0.0028033854905515,0.9602718949317932,0.0035422514505252,568,2620
SP500,120,1,PatchTST,2010_Euro_Debt_Crisis,0.0086962878704071,0.6162817478179932,0.011008719633323,568,2620
SP500,120,1,Mamba,2010_Euro_Debt_Crisis,0.0023505187127739,0.9668627977371216,0.0032351064703056,568,2620
SP500,120,1,SNN,2010_Euro_Debt_Crisis,0.0187451262027025,-0.6000701189041138,0.0224801945027476,568,2620
SP500,120,1,Ensemble,2010_Euro_Debt_Crisis,0.0053511052392423,0.8688193559646606,0.0064367327968613,568,2620
SP500,120,5,ARIMA,2010_Euro_Debt_Crisis,0.0045853014885386,0.8825983010540028,0.0060893050373974,568,2620
SP500,120,5,Bi-RNN,2010_Euro_Debt_Crisis,0.0057750358246266,0.8277119398117065,0.0073924509853096,564,2620
SP500,120,5,Bi-GRU,2010_Euro_Debt_Crisis,0.0049789999611675,0.8758727312088013,0.0062747221784787,564,2620
SP500,120,5,Bi-LSTM,2010_Euro_Debt_Crisis,0.0052218716591596,0.8653141260147095,0.0065361487038644,564,2620
SP500,120,5,PatchTST,2010_Euro_Debt_Crisis,0.0210509207099676,-1.262704372406006,0.0267901275928655,564,2620
SP500,120,5,Mamba,2010_Euro_Debt_Crisis,0.0047046071849763,0.8829450011253357,0.0060933454539549,564,2620
SP500,120,5,SNN,2010_Euro_Debt_Crisis,0.0087427217513322,0.6564429998397827,0.0104390325040001,564,2620
SP500,120,5,Ensemble,2010_Euro_Debt_Crisis,0.0068241753615438,0.764251172542572,0.0086474016739232,564,2620
SP500,120,10,ARIMA,2010_Euro_Debt_Crisis,0.006087469451797,0.8078099224090862,0.0077910505171203,568,2620
SP500,120,10,Bi-RNN,2010_Euro_Debt_Crisis,0.0054579353891313,0.8337350487709045,0.0072862545210205,559,2620
SP500,120,10,Bi-GRU,2010_Euro_Debt_Crisis,0.0062269298359751,0.802881121635437,0.007933559720165,559,2620
SP500,120,10,Bi-LSTM,2010_Euro_Debt_Crisis,0.0061218598857522,0.7982679009437561,0.0080258583344294,559,2620
SP500,120,10,PatchTST,2010_Euro_Debt_Crisis,0.0246951840817928,-1.976081132888794,0.0308266523936213,559,2620
SP500,120,10,Mamba,2010_Euro_Debt_Crisis,0.0058560720644891,0.8184783458709717,0.0076132173691497,559,2620
SP500,120,10,SNN,2010_Euro_Debt_Crisis,0.0096302526071667,0.5829730033874512,0.0115394756222442,559,2620
SP500,120,10,Ensemble,2010_Euro_Debt_Crisis,0.007713065482676,0.7188692092895508,0.0094745404143006,559,2620
SP500,252,1,ARIMA,2010_Euro_Debt_Crisis,0.0020082433215329,0.9750047755820892,0.0028096942290743,568,2620
SP500,252,1,Bi-RNN,2010_Euro_Debt_Crisis,0.0037045255303382,0.9283298254013062,0.0047577300538033,568,2620
SP500,252,1,Bi-GRU,2010_Euro_Debt_Crisis,0.0026507398579269,0.9642667770385742,0.003359437003636,568,2620
SP500,252,1,Bi-LSTM,2010_Euro_Debt_Crisis,0.0026864518877118,0.9622402787208556,0.0034533851986562,568,2620
SP500,252,1,PatchTST,2010_Euro_Debt_Crisis,0.0253837630152702,-2.3157989978790283,0.0323612026768406,568,2620
SP500,252,1,Mamba,2010_Euro_Debt_Crisis,0.0035483518149703,0.9315245747566224,0.0046504811103665,568,2620
SP500,252,1,SNN,2010_Euro_Debt_Crisis,0.0223515667021274,-1.268218755722046,0.0267653557315137,568,2620
SP500,252,1,Ensemble,2010_Euro_Debt_Crisis,0.0083198929205536,0.659205436706543,0.0103747325039219,568,2620
SP500,252,5,ARIMA,2010_Euro_Debt_Crisis,0.0045102054835602,0.8858323323172055,0.0060048491770611,568,2620
SP500,252,5,Bi-RNN,2010_Euro_Debt_Crisis,0.0048430380411446,0.8803519606590271,0.0061604676911555,564,2620
SP500,252,5,Bi-GRU,2010_Euro_Debt_Crisis,0.0217424258589744,-1.0792551040649414,0.025681166434445,564,2620
SP500,252,5,Bi-LSTM,2010_Euro_Debt_Crisis,0.0056567336432635,0.838528037071228,0.0071566447976694,564,2620
SP500,252,5,PatchTST,2010_Euro_Debt_Crisis,0.0194310043007135,-0.8613468408584595,0.0242982238175886,564,2620
