Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,252,5,Bi-GRU,2022_Rate_Hike,0.02729186601936817,0.5812317132949829,0.033649795516557966,247
SP500,252,5,Bi-LSTM,2022_Rate_Hike,0.027428828179836273,0.5810340642929077,0.033657736124829786,247
SP500,252,5,PatchTST,2022_Rate_Hike,0.08484187722206116,-2.399040699005127,0.0958680075479108,247
SP500,252,5,Mamba,2022_Rate_Hike,0.02143111266195774,0.7446613311767578,0.026275670209942703,247
SP500,252,5,SNN,2022_Rate_Hike,0.03776243329048157,0.19606953859329224,0.04662348903708258,247
SP500,252,5,Ensemble,2022_Rate_Hike,0.03138499706983566,0.44188088178634644,0.0388471343795107,247
SP500,252,10,ARIMA,2022_Rate_Hike,0.028105094602257834,0.5979795698196109,0.034110653348799265,251
SP500,252,10,Bi-RNN,2022_Rate_Hike,0.025221627205610275,0.6222398281097412,0.030726709956293723,242
SP500,252,10,Bi-GRU,2022_Rate_Hike,0.04447052627801895,-0.10942435264587402,0.05265708619523487,242
SP500,252,10,Bi-LSTM,2022_Rate_Hike,0.028365304693579674,0.5265414118766785,0.03439924870891912,242
SP500,252,10,PatchTST,2022_Rate_Hike,0.12712135910987854,-6.5108208656311035,0.13700980812529648,242
SP500,252,10,Mamba,2022_Rate_Hike,0.030394388362765312,0.4543226957321167,0.03692971048007377,242
SP500,252,10,SNN,2022_Rate_Hike,0.04533422738313675,-0.14642095565795898,0.05352787770320462,242
SP500,252,10,Ensemble,2022_Rate_Hike,0.03322358801960945,0.3255019187927246,0.04105805008054411,242
SP500,30,1,ARIMA,2023_AI_Wave,0.0055198025251773026,0.9731622635372836,0.006953775565415967,250
SP500,30,1,Bi-RNN,2023_AI_Wave,0.012169930152595043,0.8793352842330933,0.014744764249911708,250
SP500,30,1,Bi-GRU,2023_AI_Wave,0.007489369250833988,0.9521559476852417,0.00928456604127007,250
SP500,30,1,Bi-LSTM,2023_AI_Wave,0.011604426428675652,0.8910232782363892,0.014012467290199568,250
SP500,30,1,PatchTST,2023_AI_Wave,0.015523599460721016,0.7946542501449585,0.019234929997083913,250
SP500,30,1,Mamba,2023_AI_Wave,0.008893935941159725,0.9302489161491394,0.011210454853979755,250
SP500,30,1,SNN,2023_AI_Wave,0.0496276393532753,-0.6055858135223389,0.05378541334610105,250
SP500,30,1,Ensemble,2023_AI_Wave,0.013945166021585464,0.8503685593605042,0.016419471829899873,250
SP500,30,5,ARIMA,2023_AI_Wave,0.012079936091510417,0.8728146094568882,0.015137924734277702,250
SP500,30,5,Bi-RNN,2023_AI_Wave,0.015201407484710217,0.7954420447349548,0.01876805235522315,246
SP500,30,5,Bi-GRU,2023_AI_Wave,0.013618327677249908,0.8400434851646423,0.01659632873781366,246
SP500,30,5,Bi-LSTM,2023_AI_Wave,0.01576036401093006,0.77485591173172,0.01968980003963647,246
SP500,30,5,PatchTST,2023_AI_Wave,0.02646353468298912,0.40496206283569336,0.03200982826904576,246
SP500,30,5,Mamba,2023_AI_Wave,0.01292361319065094,0.8391956090927124,0.016640253421055528,246
SP500,30,5,SNN,2023_AI_Wave,0.0630435198545456,-1.792633056640625,0.06934545008456466,246
SP500,30,5,Ensemble,2023_AI_Wave,0.022003524005413055,0.5996403098106384,0.026256462350814427,246
SP500,30,10,ARIMA,2023_AI_Wave,0.018246995959181746,0.7387325393361226,0.021696535423984042,250
SP500,30,10,Bi-RNN,2023_AI_Wave,0.023553939536213875,0.5331829786300659,0.02795337380373944,241
SP500,30,10,Bi-GRU,2023_AI_Wave,0.02084522135555744,0.6490775346755981,0.02423630734620382,241
SP500,30,10,Bi-LSTM,2023_AI_Wave,0.037289299070835114,-0.09186577796936035,0.04275092404474266,241
SP500,30,10,PatchTST,2023_AI_Wave,0.030006131157279015,0.2113397717475891,0.03633338444077145,241
SP500,30,10,Mamba,2023_AI_Wave,0.020889127627015114,0.6374400854110718,0.02463489790841382,241
SP500,30,10,SNN,2023_AI_Wave,0.06586138904094696,-2.158169984817505,0.07270740136405007,241
SP500,30,10,Ensemble,2023_AI_Wave,0.03053472377359867,0.2191760540008545,0.036152425159999495,241
SP500,60,1,ARIMA,2023_AI_Wave,0.005150870797665395,0.9757543007275122,0.00660944639620528,250
SP500,60,1,Bi-RNN,2023_AI_Wave,0.012151750735938549,0.8777315616607666,0.014842425286478967,250
SP500,60,1,Bi-GRU,2023_AI_Wave,0.00792787130922079,0.9476544260978699,0.009711533737263463,250
SP500,60,1,Bi-LSTM,2023_AI_Wave,0.020591653883457184,0.6506385803222656,0.025089105863973796,250
SP500,60,1,PatchTST,2023_AI_Wave,0.043258070945739746,-0.6091940402984619,0.05384581493526723,250
SP500,60,1,Mamba,2023_AI_Wave,0.007741436827927828,0.9521761536598206,0.009282607856335811,250
SP500,60,1,SNN,2023_AI_Wave,0.0785185918211937,-3.184337615966797,0.08682826447145314,250
SP500,60,1,Ensemble,2023_AI_Wave,0.025910306721925735,0.47760260105133057,0.030679497319400176,250
SP500,60,5,ARIMA,2023_AI_Wave,0.011970611890184476,0.87407636538652,0.015062648893029397,250
